Cash & Equivalents,,,,,,,
------------------,,,,,,,
Albertson Combined Trust Accounts,Accrued Dividends,accrued,,,12824.12,12824.12,
Albertson Combined Trust Accounts,First Amer Treasury Oblig Fd-Y 3801,focx.x,,,890565.02,890565.02,
,,,,,---------------  ---------------               ,,
,,,,,944412.07,944412.07,
,,,,,,,
Fixed Income,,,,,,,
------------,,,,,,,
Albertson Combined Trust Accounts,CA State Univ. Clbl 3/1/2020 @ 100,130685b9,115.86,7/13/2015,100389,115859,100000
Albertson Combined Trust Accounts,Livermore Water Mgmt Clbl 8/1/2021 ,538152cc,119.79,5/22/2013,104953,119794,100000
,,,,,---------------  ---------------               ,,
,,,,,2623717.07,2674086,
,,,,,,,
Equities,,,,,,,
--------,,,,,,,
Albertson Combined Trust Accounts,3M Co.,mmm,170.61,12/6/2019,327579,358291.44,2100
Albertson Combined Trust Accounts,AbbVie Inc.,abbv,56.57,3/23/2016,402538,231923.22,4100
,,,,,---------------  ---------------               ,,
,,,,,9615469.39,5811630.67,
